ControlID,RuleName
C-0015,rule-can-list-get-secrets
C-0015,rule-can-list-get-secrets-v1
C-0067,k8s-audit-logs-enabled-cloud
C-0067,k8s-audit-logs-enabled-native
C-0053,access-container-service-account
C-0053,access-container-service-account-v1
C-0030,ingress-and-egress-blocked
C-0038,host-pid-ipc-privileges
C-0068,psp-enabled-cloud
C-0068,psp-enabled-native
C-0060,namespace-without-service-account
C-0018,configured-readiness-probe
C-0012,rule-credentials-in-env-var
C-0012,rule-credentials-configmap
C-0082,read-only-port-enabled
C-0005,insecure-port-flag
C-0009,resource-policies
C-0049,internal-networking
C-0034,automount-service-account
C-0062,sudo-in-container-entrypoint
C-0052,instance-metadata-api-access
C-0058,Symlink-Exchange-Can-Allow-Host-Filesystem-Access
C-0039,list-all-mutating-webhooks
C-0017,immutable-container-filesystem
C-0056,configured-liveness-probe
C-0037,rule-can-update-configmap
C-0037,rule-can-update-configmap-v1
C-0074,containers-mounting-docker-socket
C-0085,excessive_amount_of_vulnerabilities_pods
C-0057,rule-privilege-escalation
C-0078,container-image-repository
C-0076,label-usage-for-resources
C-0081,CVE-2022-24348
C-0046,insecure-capabilities
C-0050,resources-cpu-limit-and-request
C-0026,rule-deny-cronjobs
C-0016,rule-allow-privilege-escalation
C-0086,CVE-2022-0492
C-0001,rule-identify-blocklisted-image-registries
C-0044,container-hostPort
C-0035,rule-list-all-cluster-admins
C-0035,rule-list-all-cluster-admins-v1
C-0021,exposed-sensitive-interfaces
C-0021,exposed-sensitive-interfaces-v1
C-0014,rule-access-dashboard
C-0014,rule-access-dashboard-subject-v1
C-0014,rule-access-dashboard-wl-v1
C-0047,rule-exposed-dashboard
C-0047,rule-exposed-dashboard-v1
C-0084,exposed-rce-pods
C-0083,exposed-critical-pods
C-0002,exec-into-container
C-0002,exec-into-container-v1
C-0087,CVE-2022-23648
C-0013,non-root-containers
C-0066,secret-etcd-encryption-cloud
C-0066,etcd-encryption-native
C-0036,list-all-validating-webhooks
C-0033,access-tiller-endpoint
C-0077,K8s common labels usage
C-0079,CVE-2022-0185
C-0024,deny-vuln-image-pods
C-0048,alert-any-hostpath
C-0042,rule-can-ssh-to-pod
C-0042,rule-can-ssh-to-pod-v1
C-0061,pods-in-default-namespace
C-0054,internal-networking
C-0059,nginx-ingress-snippet-annotation-vulnerability
C-0070,enforce-kubelet-client-tls-authentication
C-0041,host-network-access
C-0019,rule-can-bash-cmd-inside-container
C-0065,rule-can-impersonate-users-groups
C-0065,rule-can-impersonate-users-groups-v1
C-0004,resources-memory-limit-and-request
C-0063,rule-can-portforward
C-0063,rule-can-portforward-v1
C-0055,linux-hardening
C-0075,image-pull-policy-is-not-set-to-always
C-0031,rule-can-delete-k8s-events
C-0031,rule-can-delete-k8s-events-v1
C-0025,deny-RCE-vuln-image-pods
C-0069,anonymous-requests-to-kubelet-service
C-0007,rule-excessive-delete-rights
C-0007,rule-excessive-delete-rights-v1
C-0045,alert-rw-hostpath
C-0006,alert-rw-hostpath
C-0073,naked-pods
C-0020,alert-any-hostpath
C-0088,rbac-enabled-cloud
C-0088,rbac-enabled-native
